,angle,county,distance,quadrant,radius,store,tract
0,248.37589266720772,113,7.471214171641868,3,10,1,018135
1,239.16661634838061,113,8.316053781524952,3,10,1,018141
2,262.05623153485385,397,2.5611358075502295,3,3,1,040302
3,302.4476929944756,085,9.171090140259002,4,10,1,031311
4,234.4348347243385,113,9.361881895439854,3,10,1,018142
5,244.4360757253637,113,9.41150503710856,3,10,1,018137
6,268.7347001039478,113,8.595316609977314,3,10,1,018140
7,272.29358209615316,113,9.706247962459953,4,10,1,018139
8,316.4422782866667,085,7.928341981752015,4,10,1,031310
9,187.77413932935605,257,9.299853742723878,3,10,1,050205
10,255.9671634809282,397,5.5580183119320195,3,10,1,040301
11,180.36498194880818,397,5.613542785601091,3,10,1,040506
12,280.1982033025964,113,7.5475886034608095,4,10,1,018124
13,260.46856496167993,113,8.939494798987536,3,10,1,018133
14,252.99674724595025,113,9.303196148665565,3,10,1,018136
15,322.99737033760255,397,3.0493378239320594,4,5,1,040200
16,30.34104014585182,397,3.0881871569690245,1,5,1,040402
17,221.0619555908768,397,3.232148483017394,3,5,1,040503
18,12.77851520518368,085,8.75297039861437,1,10,1,031201
19,11.028614881351075,085,5.554509511455534,1,10,1,031202
20,290.8293717200667,113,9.354035409291694,4,10,1,018122
21,258.5901293293212,113,6.7959786181754565,3,10,1,018134
22,223.98853521781226,397,6.974811918336483,3,10,1,040504
23,297.20970986832776,397,5.482822505593545,4,10,1,040102
24,136.39410271463532,397,4.749049008981331,2,5,1,040505
25,81.28372606824689,397,4.154160103574026,1,5,1,040401
26,287.02963987769834,397,4.202732647491891,4,5,1,040101
27,327.31775604905414,085,4.866611915471075,4,5,2,030405
28,308.8609709968844,085,6.129760783352781,4,10,2,030407
29,7.425192152642808,085,4.053025578331556,1,5,2,030512
30,356.93664529948927,085,8.10326350559498,4,10,2,030522
31,192.61341429286682,085,2.6852923428101168,3,3,2,031625
32,11.896628800916119,085,2.823330429932661,1,3,2,031640
33,292.1115046117259,085,1.9588707928358127,4,3,2,031663
34,200.43622983450263,085,5.873523242280584,3,10,2,031718
35,124.42110890143698,085,4.361282175451412,2,5,2,032012
36,178.70095645175707,113,8.69671368272134,2,10,2,019202
37,242.65322127954482,121,9.971292171230182,3,10,2,021612
38,238.71397606297845,121,7.099204059064487,3,10,2,021632
39,154.0466744852007,113,8.146366776331455,2,10,2,019037
40,314.8506145569572,121,9.876428702519398,4,10,2,020111
41,304.25593475285643,121,8.397900153811825,4,10,2,021525
42,248.18849979309448,121,7.632511135758035,3,10,2,021628
43,243.21243156483115,121,8.207471717251577,3,10,2,021633
44,225.99311364816768,121,7.885884930272673,3,10,2,021636
45,26.27577902879267,085,5.61865422052919,1,10,2,030513
46,349.4136645767095,085,7.71593456076443,4,10,2,030521
47,24.335866547693513,085,8.668523850867718,1,10,2,030530
48,41.73511416547359,085,4.993303648020577,1,5,2,031405
49,55.91314499427233,085,4.56217760762371,1,5,2,031507
50,145.41705960733668,085,3.1741683269624787,2,5,2,031622
51,44.25662037057981,085,0.6767203375822242,1,1,2,031642
52,228.71275173262367,085,2.3735545739723687,3,3,2,031653
53,277.5178635002625,085,1.7525480208505217,4,3,2,031664
54,211.90677487656384,085,5.672325800170974,3,10,2,031716
55,172.0835189535553,085,4.971362340909894,2,5,2,031806
56,132.6051800056332,085,4.790867048721805,2,5,2,032003
57,202.51005152898983,113,6.721286412534828,3,10,2,013617
58,202.9966568426038,113,8.310137470947138,3,10,2,013621
59,304.661513743238,085,4.450855515546502,4,5,2,030505
60,152.30438394913017,085,3.7996982560249766,2,5,2,031623
61,249.4720035621417,085,3.8030694442482966,3,5,2,031646
62,171.8913851315382,113,9.979948669435313,2,10,2,019041
63,238.32307525900188,121,8.757822023667641,3,10,2,021614
64,229.76657164908568,121,8.28429460515168,3,10,2,021637
65,156.93037265848807,113,8.924091633213765,2,10,2,019023
66,249.04579908206833,121,9.700988042522402,3,10,2,021630
67,138.90174817494187,085,2.4369447187287805,2,3,2,031629
68,311.6098273136928,085,0.729172129454883,4,1,2,031637
69,208.99136381499855,085,6.25901409309415,3,10,2,031708
70,341.06733345380474,085,4.55630464472402,4,5,2,030510
71,69.14312430593475,085,6.9662677307528735,1,10,2,031504
72,136.99618139773992,085,7.640568625360466,2,10,2,032009
73,204.17343350401794,113,9.736943166241062,3,10,2,013625
74,179.28870975167308,113,6.735470685833912,2,10,2,019206
75,279.22816550445816,121,9.39863809285251,4,10,2,021516
76,221.45852549113883,085,6.401636615477542,3,10,2,031713
77,160.69788185482594,113,7.348983479235184,2,10,2,019038
78,273.63249228336224,121,8.69339494487391,4,10,2,021518
79,270.2290857751141,121,5.633468374739222,4,10,2,021626
80,318.8135518664985,085,5.45206550805758,4,10,2,030406
81,202.2405184607955,113,9.116180997911158,3,10,2,013622
82,294.9525791313506,085,5.15433167497383,4,10,2,030504
83,44.257032169123136,085,9.726591117599783,1,10,2,030801
84,83.01581740414917,085,2.9605514460972686,1,3,2,031632
85,253.54140516165066,085,5.127263168500313,3,10,2,031645
86,142.94970052731952,113,9.929992158211254,2,10,2,019027
87,175.61204699112318,113,9.667862825651977,2,10,2,019040
